                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99151,                 3.2737,                 1.1256,                0.00574,                0.76998,                0.09877,                0.05597,                 1.0649,                 3.1841,                 1.1909,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                0.89217,                 3.1965,                  1.115,                0.00642,                0.86172,                0.18382,                0.12746,                0.77947,                 3.0552,                0.98722,             9.8049e-05,             9.8049e-05,             9.8049e-05
                      3,                 0.7734,                 2.8208,                 1.0571,                0.00638,                0.86046,                0.28507,                0.22666,                0.62211,                 2.9659,                0.89979,             0.00015097,             0.00015097,             0.00015097
                      4,                0.77962,                 2.4224,                  1.025,                0.00718,                0.97152,                0.37341,                0.29517,                  0.658,                 2.7588,                0.91556,             0.00020162,             0.00020162,             0.00020162
                      5,                0.75503,                 1.9865,                0.98905,                0.00705,                0.93276,                0.40558,                0.31298,                0.66471,                 2.6237,                0.91857,             0.00025001,             0.00025001,             0.00025001
                      6,                0.76078,                 1.8657,                0.99308,                  0.747,                0.18292,                0.56383,                0.43935,                0.65667,                 2.4404,                0.91601,             0.00029613,             0.00029613,             0.00029613
                      7,                0.68125,                 1.6557,                 1.0091,                0.77746,                0.21687,                0.61742,                0.49568,                0.66239,                 2.3493,                0.91745,             0.00033999,             0.00033999,             0.00033999
                      8,                0.70143,                 1.4874,                0.99899,                0.98761,                0.29386,                0.70951,                0.58056,                0.65067,                 2.2929,                0.91523,             0.00038159,             0.00038159,             0.00038159
                      9,                 0.6872,                 1.3976,                0.99004,                0.92162,                0.47322,                 0.7264,                0.59047,                 0.6424,                  2.118,                0.90469,             0.00042093,             0.00042093,             0.00042093
                     10,                0.67528,                 1.2439,                0.96712,                0.97254,                0.51492,                0.80952,                 0.6648,                0.62444,                 1.9966,                 0.9006,               0.000458,               0.000458,               0.000458
                     11,                0.73847,                 1.2623,                 1.0102,                0.86036,                0.62013,                 0.8313,                0.65743,                0.66766,                 1.8948,                0.91526,              0.0004928,              0.0004928,              0.0004928
                     12,                0.70002,                 1.1297,                0.94803,                0.70433,                0.64111,                0.78507,                0.59767,                0.72356,                 1.8405,                 0.9458,             0.00052535,             0.00052535,             0.00052535
                     13,                 0.6988,                 1.1597,                0.97511,                0.71691,                0.59519,                0.74724,                 0.5386,                0.77484,                 1.9152,                0.97162,             0.00055563,             0.00055563,             0.00055563
                     14,                0.68739,                 1.1413,                0.94648,                0.71428,                0.57849,                0.76493,                0.57892,                0.73962,                 1.8537,                0.97122,             0.00058365,             0.00058365,             0.00058365
                     15,                0.68682,                 1.0511,                0.95486,                0.73235,                0.58923,                0.82084,                0.66215,                 0.6657,                 1.7691,                0.94474,              0.0006094,              0.0006094,              0.0006094
                     16,                0.65603,                  1.109,                0.95366,                0.82463,                 0.5337,                0.83002,                0.67409,                0.67476,                 1.7673,                0.94851,             0.00063289,             0.00063289,             0.00063289
                     17,                0.68759,                  1.013,                 0.9506,                0.80665,                0.57988,                0.76717,                0.63794,                0.64702,                 1.7475,                0.91679,             0.00065412,             0.00065412,             0.00065412
                     18,                0.68594,                 1.0255,                0.95507,                0.92288,                0.50294,                0.74798,                0.63748,                0.59037,                 1.6666,                0.88063,             0.00067308,             0.00067308,             0.00067308
                     19,                0.63559,                 1.0115,                0.96755,                0.90623,                0.54427,                0.79671,                0.66327,                0.62748,                 1.7014,                0.88975,             0.00068978,             0.00068978,             0.00068978
                     20,                0.66974,                 1.0156,                 0.9594,                0.91407,                 0.6181,                0.81296,                0.67844,                 0.6433,                 1.7013,                0.89423,             0.00070421,             0.00070421,             0.00070421
                     21,                0.64121,                 1.0238,                0.93855,                0.85843,                0.59483,                0.75111,                 0.6328,                0.65311,                 1.6616,                 0.9068,             0.00071639,             0.00071639,             0.00071639
                     22,                0.68595,                 1.0424,                0.97005,                0.76952,                 0.6547,                0.79698,                0.68892,                0.61618,                 1.5399,                0.90494,             0.00072629,             0.00072629,             0.00072629
                     23,                0.63224,                 1.0373,                0.95179,                0.73581,                0.77182,                0.85215,                0.74025,                0.59831,                 1.3195,                0.89654,             0.00073394,             0.00073394,             0.00073394
                     24,                0.66473,                0.96944,                0.95365,                0.89965,                0.74997,                0.88423,                0.75641,                0.60995,                 1.2165,                0.89882,             0.00073932,             0.00073932,             0.00073932
                     25,                0.63936,                0.96852,                0.93704,                0.92308,                0.76408,                0.89985,                0.76147,                0.60754,                 1.1772,                0.89869,             0.00074244,             0.00074244,             0.00074244
                     26,                0.64949,                0.94801,                0.94876,                0.92097,                 0.8192,                0.90564,                0.77911,                0.57407,                 1.1694,                 0.8886,             0.00072164,             0.00072164,             0.00072164
                     27,                0.66893,                0.96264,                0.96433,                0.88427,                0.82274,                0.90423,                0.78044,                0.56848,                 1.1864,                0.88608,             0.00069335,             0.00069335,             0.00069335
                     28,                0.67221,                0.94196,                0.94471,                0.92681,                0.80539,                0.92326,                0.80292,                0.55953,                 1.0646,                0.87675,             0.00066506,             0.00066506,             0.00066506
                     29,                0.64252,                0.97051,                0.94815,                0.94854,                0.81192,                0.92838,                0.81585,                0.56377,                 1.0044,                0.87441,             0.00063676,             0.00063676,             0.00063676
                     30,                0.60385,                0.92336,                0.92016,                0.94427,                0.85917,                0.93623,                0.81567,                0.54496,                0.94782,                0.87018,             0.00060847,             0.00060847,             0.00060847
                     31,                0.63462,                0.97597,                0.96181,                0.92524,                0.85096,                 0.9459,                0.82925,                0.53726,                0.93583,                0.86883,             0.00058017,             0.00058017,             0.00058017
                     32,                0.62775,                0.89992,                0.93833,                0.93399,                 0.8508,                0.96603,                0.84542,                0.52883,                 0.9113,                0.86684,             0.00055188,             0.00055188,             0.00055188
                     33,                 0.6529,                0.94596,                 0.9723,                0.91897,                 0.9081,                0.96946,                0.85602,                0.52206,                0.85972,                0.86238,             0.00052359,             0.00052359,             0.00052359
                     34,                0.57648,                0.86986,                0.91179,                 0.9709,                0.88465,                0.97128,                0.85683,                0.52989,                0.80108,                  0.864,             0.00049529,             0.00049529,             0.00049529
                     35,                0.59329,                0.80301,                0.92164,                0.96249,                0.90983,                0.96714,                0.85409,                0.52423,                0.79418,                0.86107,               0.000467,               0.000467,               0.000467
                     36,                 0.5637,                0.86656,                0.94032,                0.95569,                0.89931,                0.96137,                0.85037,                0.51557,                0.77835,                0.85619,              0.0004387,              0.0004387,              0.0004387
                     37,                0.58647,                0.86872,                0.96307,                0.95387,                0.90363,                 0.9613,                 0.8558,                0.51334,                0.76575,                0.85223,             0.00041041,             0.00041041,             0.00041041
